match_row_id,match_key,match_title,match_date,match_label,team_1,team_2,source_pdf,source_csv,batting_team_from_filename,sequence,innings_number,batting_team,ball,over_number,ball_in_over,bowler,batsman,detail,commentary,total_runs,batsman_runs,extras,extra_type,is_boundary,boundary_type,is_wicket,dismissal_kind,is_legal_ball
2026_05_07_akatsuki_corps_vs_minions__1,2026_05_07_akatsuki_corps_vs_minions,Akatsuki Corps vs Minions,2026-05-07,Akatsuki Corps vs Minions (2026-05-07),Akatsuki Corps,Minions,Akatsuki Corps_2026-05-07.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs Minions _ 2026-05-07 _ CricHeroes.csv,Akatsuki Corps,1,1,Akatsuki Corps,0.1,0,1,Roja L S,Bhavana V,no run,"Roja L S to Bhavana V, no run",0,0,0,,0,,0,,1
2026_05_07_akatsuki_corps_vs_minions__2,2026_05_07_akatsuki_corps_vs_minions,Akatsuki Corps vs Minions,2026-05-07,Akatsuki Corps vs Minions (2026-05-07),Akatsuki Corps,Minions,Akatsuki Corps_2026-05-07.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs Minions _ 2026-05-07 _ CricHeroes.csv,Akatsuki Corps,2,1,Akatsuki Corps,0.3,0,3,Roja L S,Bhavana V,no run,"Roja L S to Bhavana V, no run",0,0,0,,0,,0,,1
2026_05_07_akatsuki_corps_vs_minions__3,2026_05_07_akatsuki_corps_vs_minions,Akatsuki Corps vs Minions,2026-05-07,Akatsuki Corps vs Minions (2026-05-07),Akatsuki Corps,Minions,Akatsuki Corps_2026-05-07.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs Minions _ 2026-05-07 _ CricHeroes.csv,Akatsuki Corps,3,1,Akatsuki Corps,0.4,0,4,Roja L S,Bhavana V,no run,"Roja L S to Bhavana V, no run",0,0,0,,0,,0,,1
2026_05_07_akatsuki_corps_vs_minions__4,2026_05_07_akatsuki_corps_vs_minions,Akatsuki Corps vs Minions,2026-05-07,Akatsuki Corps vs Minions (2026-05-07),Akatsuki Corps,Minions,Akatsuki Corps_2026-05-07.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs Minions _ 2026-05-07 _ CricHeroes.csv,Akatsuki Corps,4,1,Akatsuki Corps,0.5,0,5,Roja L S,Bhavana V,no run,"Roja L S to Bhavana V, no run",0,0,0,,0,,0,,1
2026_05_07_akatsuki_corps_vs_minions__5,2026_05_07_akatsuki_corps_vs_minions,Akatsuki Corps vs Minions,2026-05-07,Akatsuki Corps vs Minions (2026-05-07),Akatsuki Corps,Minions,Akatsuki Corps_2026-05-07.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs Minions _ 2026-05-07 _ CricHeroes.csv,Akatsuki Corps,5,1,Akatsuki Corps,1.0,1,0,Roja L S,Bhavana V,OUT Bowled,"Roja L S to Bhavana V, OUT Bowled Bhavana V b Roja L S (0r 6b 0x4s 0x6s SR: 0.00)",,,,,0,,1,out,1
2026_05_07_akatsuki_corps_vs_minions__6,2026_05_07_akatsuki_corps_vs_minions,Akatsuki Corps vs Minions,2026-05-07,Akatsuki Corps vs Minions (2026-05-07),Akatsuki Corps,Minions,Akatsuki Corps_2026-05-07.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs Minions _ 2026-05-07 _ CricHeroes.csv,Akatsuki Corps,6,1,Akatsuki Corps,1.1,1,1,Salman faris,Shadab,no run,"Salman faris to Shadab, no run",0,0,0,,0,,0,,1
2026_05_07_akatsuki_corps_vs_minions__7,2026_05_07_akatsuki_corps_vs_minions,Akatsuki Corps vs Minions,2026-05-07,Akatsuki Corps vs Minions (2026-05-07),Akatsuki Corps,Minions,Akatsuki Corps_2026-05-07.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs Minions _ 2026-05-07 _ CricHeroes.csv,Akatsuki Corps,7,1,Akatsuki Corps,1.2,1,2,Salman faris,Shadab,1 run,"Salman faris to Shadab, 1 run",1,1,0,,0,,0,,1
2026_05_07_akatsuki_corps_vs_minions__8,2026_05_07_akatsuki_corps_vs_minions,Akatsuki Corps vs Minions,2026-05-07,Akatsuki Corps vs Minions (2026-05-07),Akatsuki Corps,Minions,Akatsuki Corps_2026-05-07.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs Minions _ 2026-05-07 _ CricHeroes.csv,Akatsuki Corps,8,1,Akatsuki Corps,1.3,1,3,Salman faris,Vishal Ls,no run,"Salman faris to Vishal Ls, no run",0,0,0,,0,,0,,1
2026_05_07_akatsuki_corps_vs_minions__9,2026_05_07_akatsuki_corps_vs_minions,Akatsuki Corps vs Minions,2026-05-07,Akatsuki Corps vs Minions (2026-05-07),Akatsuki Corps,Minions,Akatsuki Corps_2026-05-07.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs Minions _ 2026-05-07 _ CricHeroes.csv,Akatsuki Corps,9,1,Akatsuki Corps,1.4,1,4,Salman faris,Vishal Ls,no run,"Salman faris to Vishal Ls, no run",0,0,0,,0,,0,,1
2026_05_07_akatsuki_corps_vs_minions__10,2026_05_07_akatsuki_corps_vs_minions,Akatsuki Corps vs Minions,2026-05-07,Akatsuki Corps vs Minions (2026-05-07),Akatsuki Corps,Minions,Akatsuki Corps_2026-05-07.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs Minions _ 2026-05-07 _ CricHeroes.csv,Akatsuki Corps,10,1,Akatsuki Corps,1.5,1,5,Salman faris,Vishal Ls,wide,"Salman faris to Vishal Ls, wide",1,0,1,wide,0,,0,,0
