match_row_id,match_key,match_title,match_date,match_label,team_1,team_2,source_pdf,source_csv,batting_team_from_filename,sequence,innings_number,batting_team,ball,over_number,ball_in_over,bowler,batsman,detail,commentary,total_runs,batsman_runs,extras,extra_type,is_boundary,boundary_type,is_wicket,dismissal_kind,is_legal_ball
2026_04_10_akatsuki_corps_vs_the_fibrillators__1,2026_04_10_akatsuki_corps_vs_the_fibrillators,Akatsuki Corps vs The Fibrillators,2026-04-10,Akatsuki Corps vs The Fibrillators (2026-04-10),Akatsuki Corps,The Fibrillators,Akatsuki Corps_2026-04-10.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs The Fibrillators _ 2026-04-10 _ CricHeroes.csv,Akatsuki Corps,1,1,Akatsuki Corps,0.1,0,1,Pavithra Murugesh,Bhavana V,no run,"Pavithra Murugesh to Bhavana V, no run",0,0,0,,0,,0,,1
2026_04_10_akatsuki_corps_vs_the_fibrillators__2,2026_04_10_akatsuki_corps_vs_the_fibrillators,Akatsuki Corps vs The Fibrillators,2026-04-10,Akatsuki Corps vs The Fibrillators (2026-04-10),Akatsuki Corps,The Fibrillators,Akatsuki Corps_2026-04-10.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs The Fibrillators _ 2026-04-10 _ CricHeroes.csv,Akatsuki Corps,2,1,Akatsuki Corps,0.2,0,2,Pavithra Murugesh,Bhavana V,no run,"Pavithra Murugesh to Bhavana V, no run",0,0,0,,0,,0,,1
2026_04_10_akatsuki_corps_vs_the_fibrillators__3,2026_04_10_akatsuki_corps_vs_the_fibrillators,Akatsuki Corps vs The Fibrillators,2026-04-10,Akatsuki Corps vs The Fibrillators (2026-04-10),Akatsuki Corps,The Fibrillators,Akatsuki Corps_2026-04-10.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs The Fibrillators _ 2026-04-10 _ CricHeroes.csv,Akatsuki Corps,3,1,Akatsuki Corps,0.3,0,3,Pavithra Murugesh,Bhavana V,no run,"Pavithra Murugesh to Bhavana V, no run",0,0,0,,0,,0,,1
2026_04_10_akatsuki_corps_vs_the_fibrillators__4,2026_04_10_akatsuki_corps_vs_the_fibrillators,Akatsuki Corps vs The Fibrillators,2026-04-10,Akatsuki Corps vs The Fibrillators (2026-04-10),Akatsuki Corps,The Fibrillators,Akatsuki Corps_2026-04-10.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs The Fibrillators _ 2026-04-10 _ CricHeroes.csv,Akatsuki Corps,4,1,Akatsuki Corps,0.4,0,4,Pavithra Murugesh,Bhavana V,no run,"Pavithra Murugesh to Bhavana V, no run",0,0,0,,0,,0,,1
2026_04_10_akatsuki_corps_vs_the_fibrillators__5,2026_04_10_akatsuki_corps_vs_the_fibrillators,Akatsuki Corps vs The Fibrillators,2026-04-10,Akatsuki Corps vs The Fibrillators (2026-04-10),Akatsuki Corps,The Fibrillators,Akatsuki Corps_2026-04-10.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs The Fibrillators _ 2026-04-10 _ CricHeroes.csv,Akatsuki Corps,5,1,Akatsuki Corps,0.5,0,5,Pavithra Murugesh,Bhavana V,no run,"Pavithra Murugesh to Bhavana V, no run",0,0,0,,0,,0,,1
2026_04_10_akatsuki_corps_vs_the_fibrillators__6,2026_04_10_akatsuki_corps_vs_the_fibrillators,Akatsuki Corps vs The Fibrillators,2026-04-10,Akatsuki Corps vs The Fibrillators (2026-04-10),Akatsuki Corps,The Fibrillators,Akatsuki Corps_2026-04-10.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs The Fibrillators _ 2026-04-10 _ CricHeroes.csv,Akatsuki Corps,6,1,Akatsuki Corps,1.0,1,0,Pavithra Murugesh,Bhavana V,"OUT Caught out, Caught by Arvind","Pavithra Murugesh to Bhavana V, OUT Caught out, Caught by Arvind Thomas Bhavana V c Arvind Thomas b Pavithra Murugesh (0r 6b 0x4s 0x6s SR: 0.00)",,,,,0,,1,out,1
2026_04_10_akatsuki_corps_vs_the_fibrillators__7,2026_04_10_akatsuki_corps_vs_the_fibrillators,Akatsuki Corps vs The Fibrillators,2026-04-10,Akatsuki Corps vs The Fibrillators (2026-04-10),Akatsuki Corps,The Fibrillators,Akatsuki Corps_2026-04-10.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs The Fibrillators _ 2026-04-10 _ CricHeroes.csv,Akatsuki Corps,7,1,Akatsuki Corps,1.1,1,1,Harsha LS,Shadab,wide,"Harsha LS to Shadab, wide",1,0,1,wide,0,,0,,0
2026_04_10_akatsuki_corps_vs_the_fibrillators__8,2026_04_10_akatsuki_corps_vs_the_fibrillators,Akatsuki Corps vs The Fibrillators,2026-04-10,Akatsuki Corps vs The Fibrillators (2026-04-10),Akatsuki Corps,The Fibrillators,Akatsuki Corps_2026-04-10.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs The Fibrillators _ 2026-04-10 _ CricHeroes.csv,Akatsuki Corps,8,1,Akatsuki Corps,1.1,1,1,Harsha LS,Shadab,2 runs,"Harsha LS to Shadab, 2 runs",2,2,0,,0,,0,,1
2026_04_10_akatsuki_corps_vs_the_fibrillators__9,2026_04_10_akatsuki_corps_vs_the_fibrillators,Akatsuki Corps vs The Fibrillators,2026-04-10,Akatsuki Corps vs The Fibrillators (2026-04-10),Akatsuki Corps,The Fibrillators,Akatsuki Corps_2026-04-10.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs The Fibrillators _ 2026-04-10 _ CricHeroes.csv,Akatsuki Corps,9,1,Akatsuki Corps,1.2,1,2,Harsha LS,Shadab,1 run,"Harsha LS to Shadab, 1 run",1,1,0,,0,,0,,1
2026_04_10_akatsuki_corps_vs_the_fibrillators__10,2026_04_10_akatsuki_corps_vs_the_fibrillators,Akatsuki Corps vs The Fibrillators,2026-04-10,Akatsuki Corps vs The Fibrillators (2026-04-10),Akatsuki Corps,The Fibrillators,Akatsuki Corps_2026-04-10.pdf,Ball-by-Ball Commentary & Live Score_ Akatsuki Corps vs The Fibrillators _ 2026-04-10 _ CricHeroes.csv,Akatsuki Corps,10,1,Akatsuki Corps,1.3,1,3,Harsha LS,Vishal Ls,wide,"Harsha LS to Vishal Ls, wide",1,0,1,wide,0,,0,,0
