match_row_id,match_key,match_title,match_date,match_label,team_1,team_2,source_pdf,source_csv,batting_team_from_filename,sequence,innings_number,batting_team,ball,over_number,ball_in_over,bowler,batsman,detail,commentary,total_runs,batsman_runs,extras,extra_type,is_boundary,boundary_type,is_wicket,dismissal_kind,is_legal_ball
2026_04_24_illuminati_vs_akatsuki_corps__1,2026_04_24_illuminati_vs_akatsuki_corps,Illuminati vs Akatsuki Corps,2026-04-24,Illuminati vs Akatsuki Corps (2026-04-24),Illuminati,Akatsuki Corps,Illuminati_2026-04-24.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Akatsuki Corps _ 2026-04-24 _ CricHeroes.csv,Illuminati,1,1,Illuminati,0.1,0,1,Sharmila S,Parvathy LS,no run,"Sharmila S to Parvathy LS, no run",0,0,0,,0,,0,,1
2026_04_24_illuminati_vs_akatsuki_corps__2,2026_04_24_illuminati_vs_akatsuki_corps,Illuminati vs Akatsuki Corps,2026-04-24,Illuminati vs Akatsuki Corps (2026-04-24),Illuminati,Akatsuki Corps,Illuminati_2026-04-24.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Akatsuki Corps _ 2026-04-24 _ CricHeroes.csv,Illuminati,2,1,Illuminati,0.2,0,2,Sharmila S,Parvathy LS,no run,"Sharmila S to Parvathy LS, no run",0,0,0,,0,,0,,1
2026_04_24_illuminati_vs_akatsuki_corps__3,2026_04_24_illuminati_vs_akatsuki_corps,Illuminati vs Akatsuki Corps,2026-04-24,Illuminati vs Akatsuki Corps (2026-04-24),Illuminati,Akatsuki Corps,Illuminati_2026-04-24.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Akatsuki Corps _ 2026-04-24 _ CricHeroes.csv,Illuminati,3,1,Illuminati,0.3,0,3,Sharmila S,Parvathy LS,FOUR,"Sharmila S to Parvathy LS, FOUR",4,4,0,,1,FOUR,0,,1
2026_04_24_illuminati_vs_akatsuki_corps__4,2026_04_24_illuminati_vs_akatsuki_corps,Illuminati vs Akatsuki Corps,2026-04-24,Illuminati vs Akatsuki Corps (2026-04-24),Illuminati,Akatsuki Corps,Illuminati_2026-04-24.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Akatsuki Corps _ 2026-04-24 _ CricHeroes.csv,Illuminati,4,1,Illuminati,0.4,0,4,Sharmila S,Parvathy LS,no run,"Sharmila S to Parvathy LS, no run",0,0,0,,0,,0,,1
2026_04_24_illuminati_vs_akatsuki_corps__5,2026_04_24_illuminati_vs_akatsuki_corps,Illuminati vs Akatsuki Corps,2026-04-24,Illuminati vs Akatsuki Corps (2026-04-24),Illuminati,Akatsuki Corps,Illuminati_2026-04-24.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Akatsuki Corps _ 2026-04-24 _ CricHeroes.csv,Illuminati,5,1,Illuminati,0.5,0,5,Sharmila S,Parvathy LS,no run,"Sharmila S to Parvathy LS, no run",0,0,0,,0,,0,,1
2026_04_24_illuminati_vs_akatsuki_corps__6,2026_04_24_illuminati_vs_akatsuki_corps,Illuminati vs Akatsuki Corps,2026-04-24,Illuminati vs Akatsuki Corps (2026-04-24),Illuminati,Akatsuki Corps,Illuminati_2026-04-24.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Akatsuki Corps _ 2026-04-24 _ CricHeroes.csv,Illuminati,6,1,Illuminati,1.0,1,0,Sharmila S,Parvathy LS,"OUT Caught out, Caught by Rama","Sharmila S to Parvathy LS, OUT Caught out, Caught by Rama Parvathy LS c Rama b Sharmila S (4r 6b 1x4s 0x6s SR: 66.67)",,,,,0,,1,out,1
2026_04_24_illuminati_vs_akatsuki_corps__7,2026_04_24_illuminati_vs_akatsuki_corps,Illuminati vs Akatsuki Corps,2026-04-24,Illuminati vs Akatsuki Corps (2026-04-24),Illuminati,Akatsuki Corps,Illuminati_2026-04-24.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Akatsuki Corps _ 2026-04-24 _ CricHeroes.csv,Illuminati,7,1,Illuminati,1.1,1,1,Raghi,Jahir,no run,"Raghi to Jahir, no run",0,0,0,,0,,0,,1
2026_04_24_illuminati_vs_akatsuki_corps__8,2026_04_24_illuminati_vs_akatsuki_corps,Illuminati vs Akatsuki Corps,2026-04-24,Illuminati vs Akatsuki Corps (2026-04-24),Illuminati,Akatsuki Corps,Illuminati_2026-04-24.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Akatsuki Corps _ 2026-04-24 _ CricHeroes.csv,Illuminati,8,1,Illuminati,1.2,1,2,Raghi,Jahir,no run,"Raghi to Jahir, no run",0,0,0,,0,,0,,1
2026_04_24_illuminati_vs_akatsuki_corps__9,2026_04_24_illuminati_vs_akatsuki_corps,Illuminati vs Akatsuki Corps,2026-04-24,Illuminati vs Akatsuki Corps (2026-04-24),Illuminati,Akatsuki Corps,Illuminati_2026-04-24.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Akatsuki Corps _ 2026-04-24 _ CricHeroes.csv,Illuminati,9,1,Illuminati,1.3,1,3,Raghi,Jahir,1 run,"Raghi to Jahir, 1 run",1,1,0,,0,,0,,1
2026_04_24_illuminati_vs_akatsuki_corps__10,2026_04_24_illuminati_vs_akatsuki_corps,Illuminati vs Akatsuki Corps,2026-04-24,Illuminati vs Akatsuki Corps (2026-04-24),Illuminati,Akatsuki Corps,Illuminati_2026-04-24.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Akatsuki Corps _ 2026-04-24 _ CricHeroes.csv,Illuminati,10,1,Illuminati,1.4,1,4,Raghi,Narendrakumar S N,wide,"Raghi to Narendrakumar S N, wide",1,0,1,wide,0,,0,,0
