match_row_id,match_key,match_title,match_date,match_label,team_1,team_2,source_pdf,source_csv,batting_team_from_filename,sequence,innings_number,batting_team,ball,over_number,ball_in_over,bowler,batsman,detail,commentary,total_runs,batsman_runs,extras,extra_type,is_boundary,boundary_type,is_wicket,dismissal_kind,is_legal_ball
2026_04_09_illuminati_vs_minions__1,2026_04_09_illuminati_vs_minions,Illuminati vs Minions,2026-04-09,Illuminati vs Minions (2026-04-09),Illuminati,Minions,Illuminati_Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.csv,Illuminati,1,1,Illuminati,0.1,0,1,mythri M,Tejasree,1 run,"mythri M to Tejasree, 1 run",1,1,0,,0,,0,,1
2026_04_09_illuminati_vs_minions__2,2026_04_09_illuminati_vs_minions,Illuminati vs Minions,2026-04-09,Illuminati vs Minions (2026-04-09),Illuminati,Minions,Illuminati_Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.csv,Illuminati,2,1,Illuminati,0.2,0,2,mythri M,Tejasree,1 run,"mythri M to Tejasree, 1 run",1,1,0,,0,,0,,1
2026_04_09_illuminati_vs_minions__3,2026_04_09_illuminati_vs_minions,Illuminati vs Minions,2026-04-09,Illuminati vs Minions (2026-04-09),Illuminati,Minions,Illuminati_Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.csv,Illuminati,3,1,Illuminati,0.3,0,3,mythri M,Tejasree,no run,"mythri M to Tejasree, no run",0,0,0,,0,,0,,1
2026_04_09_illuminati_vs_minions__4,2026_04_09_illuminati_vs_minions,Illuminati vs Minions,2026-04-09,Illuminati vs Minions (2026-04-09),Illuminati,Minions,Illuminati_Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.csv,Illuminati,4,1,Illuminati,0.4,0,4,mythri M,Tejasree,1 run,"mythri M to Tejasree, 1 run",1,1,0,,0,,0,,1
2026_04_09_illuminati_vs_minions__5,2026_04_09_illuminati_vs_minions,Illuminati vs Minions,2026-04-09,Illuminati vs Minions (2026-04-09),Illuminati,Minions,Illuminati_Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.csv,Illuminati,5,1,Illuminati,0.5,0,5,mythri M,Tejasree,no run,"mythri M to Tejasree, no run",0,0,0,,0,,0,,1
2026_04_09_illuminati_vs_minions__6,2026_04_09_illuminati_vs_minions,Illuminati vs Minions,2026-04-09,Illuminati vs Minions (2026-04-09),Illuminati,Minions,Illuminati_Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.csv,Illuminati,6,1,Illuminati,1.0,1,0,mythri M,Tejasree,(no ball),"mythri M to Tejasree, (no ball)",1,0,1,no_ball,0,,0,,0
2026_04_09_illuminati_vs_minions__7,2026_04_09_illuminati_vs_minions,Illuminati vs Minions,2026-04-09,Illuminati vs Minions (2026-04-09),Illuminati,Minions,Illuminati_Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.csv,Illuminati,7,1,Illuminati,1.0,1,0,mythri M,Tejasree,FOUR,"mythri M to Tejasree, FOUR",4,4,0,,1,FOUR,0,,1
2026_04_09_illuminati_vs_minions__8,2026_04_09_illuminati_vs_minions,Illuminati vs Minions,2026-04-09,Illuminati vs Minions (2026-04-09),Illuminati,Minions,Illuminati_Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.csv,Illuminati,10,1,Illuminati,1.1,1,1,Sayooj Kalapurakkal,Akhil S Babu,"leg bye, 4 runs","Sayooj Kalapurakkal to Akhil S Babu, leg bye, 4 runs",4,0,4,leg_bye,0,,0,,1
2026_04_09_illuminati_vs_minions__9,2026_04_09_illuminati_vs_minions,Illuminati vs Minions,2026-04-09,Illuminati vs Minions (2026-04-09),Illuminati,Minions,Illuminati_Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.csv,Illuminati,11,1,Illuminati,1.2,1,2,Sayooj Kalapurakkal,Akhil S Babu,no run,"Sayooj Kalapurakkal to Akhil S Babu, no run",0,0,0,,0,,0,,1
2026_04_09_illuminati_vs_minions__10,2026_04_09_illuminati_vs_minions,Illuminati vs Minions,2026-04-09,Illuminati vs Minions (2026-04-09),Illuminati,Minions,Illuminati_Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.csv,Illuminati,12,1,Illuminati,1.3,1,3,Sayooj Kalapurakkal,Akhil S Babu,no run,"Sayooj Kalapurakkal to Akhil S Babu, no run",0,0,0,,0,,0,,1
2026_04_09_illuminati_vs_minions__11,2026_04_09_illuminati_vs_minions,Illuminati vs Minions,2026-04-09,Illuminati vs Minions (2026-04-09),Illuminati,Minions,Illuminati_Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Illuminati vs Minions _ 2026-04-09 _ CricHeroes.csv,Illuminati,13,1,Illuminati,1.4,1,4,Sayooj Kalapurakkal,Akhil S Babu,no run,"Sayooj Kalapurakkal to Akhil S Babu, no run",0,0,0,,0,,0,,1
