match_row_id,match_key,match_title,match_date,match_label,team_1,team_2,source_pdf,source_csv,batting_team_from_filename,sequence,innings_number,batting_team,ball,over_number,ball_in_over,bowler,batsman,detail,commentary,total_runs,batsman_runs,extras,extra_type,is_boundary,boundary_type,is_wicket,dismissal_kind,is_legal_ball
2026_04_06_minions_vs_the_fibrillators__1,2026_04_06_minions_vs_the_fibrillators,Minions vs The Fibrillators,2026-04-06,Minions vs The Fibrillators (2026-04-06),Minions,The Fibrillators,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.csv,Minions,1,1,Minions,0.1,0,1,Pavithra Murugesh,Roja L S,no run,"Pavithra Murugesh to Roja L S, no run",0,0,0,,0,,0,,1
2026_04_06_minions_vs_the_fibrillators__2,2026_04_06_minions_vs_the_fibrillators,Minions vs The Fibrillators,2026-04-06,Minions vs The Fibrillators (2026-04-06),Minions,The Fibrillators,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.csv,Minions,2,1,Minions,0.2,0,2,Pavithra Murugesh,Roja L S,no run,"Pavithra Murugesh to Roja L S, no run",0,0,0,,0,,0,,1
2026_04_06_minions_vs_the_fibrillators__3,2026_04_06_minions_vs_the_fibrillators,Minions vs The Fibrillators,2026-04-06,Minions vs The Fibrillators (2026-04-06),Minions,The Fibrillators,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.csv,Minions,3,1,Minions,0.3,0,3,Pavithra Murugesh,Roja L S,no run,"Pavithra Murugesh to Roja L S, no run",0,0,0,,0,,0,,1
2026_04_06_minions_vs_the_fibrillators__4,2026_04_06_minions_vs_the_fibrillators,Minions vs The Fibrillators,2026-04-06,Minions vs The Fibrillators (2026-04-06),Minions,The Fibrillators,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.csv,Minions,4,1,Minions,0.4,0,4,Pavithra Murugesh,Roja L S,no run,"Pavithra Murugesh to Roja L S, no run",0,0,0,,0,,0,,1
2026_04_06_minions_vs_the_fibrillators__5,2026_04_06_minions_vs_the_fibrillators,Minions vs The Fibrillators,2026-04-06,Minions vs The Fibrillators (2026-04-06),Minions,The Fibrillators,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.csv,Minions,5,1,Minions,0.5,0,5,Pavithra Murugesh,Roja L S,no run,"Pavithra Murugesh to Roja L S, no run",0,0,0,,0,,0,,1
2026_04_06_minions_vs_the_fibrillators__6,2026_04_06_minions_vs_the_fibrillators,Minions vs The Fibrillators,2026-04-06,Minions vs The Fibrillators (2026-04-06),Minions,The Fibrillators,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.csv,Minions,6,1,Minions,1.0,1,0,Pavithra Murugesh,Roja L S,"OUT Caught out, Caught by Harsha LS","Pavithra Murugesh to Roja L S, OUT Caught out, Caught by Harsha LS Roja L S c Harsha LS b Pavithra Murugesh (0r 6b 0x4s 0x6s SR: 0.00)",,,,,0,,1,out,1
2026_04_06_minions_vs_the_fibrillators__7,2026_04_06_minions_vs_the_fibrillators,Minions vs The Fibrillators,2026-04-06,Minions vs The Fibrillators (2026-04-06),Minions,The Fibrillators,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.csv,Minions,7,1,Minions,1.1,1,1,Suresh,Sayooj Kalapurakkal,no run,"Suresh to Sayooj Kalapurakkal, no run 1 1",0,0,0,,0,,0,,1
2026_04_06_minions_vs_the_fibrillators__8,2026_04_06_minions_vs_the_fibrillators,Minions vs The Fibrillators,2026-04-06,Minions vs The Fibrillators (2026-04-06),Minions,The Fibrillators,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.csv,Minions,8,1,Minions,1.2,1,2,Suresh,Sayooj Kalapurakkal,no run,"Suresh to Sayooj Kalapurakkal, no run",0,0,0,,0,,0,,1
2026_04_06_minions_vs_the_fibrillators__9,2026_04_06_minions_vs_the_fibrillators,Minions vs The Fibrillators,2026-04-06,Minions vs The Fibrillators (2026-04-06),Minions,The Fibrillators,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.csv,Minions,9,1,Minions,1.3,1,3,Suresh,Sayooj Kalapurakkal,1 run,"Suresh to Sayooj Kalapurakkal, 1 run",1,1,0,,0,,0,,1
2026_04_06_minions_vs_the_fibrillators__10,2026_04_06_minions_vs_the_fibrillators,Minions vs The Fibrillators,2026-04-06,Minions vs The Fibrillators (2026-04-06),Minions,The Fibrillators,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.csv,Minions,10,1,Minions,1.4,1,4,Suresh,Vinay LS,1 run,"Suresh to Vinay LS, 1 run",1,1,0,,0,,0,,1
2026_04_06_minions_vs_the_fibrillators__11,2026_04_06_minions_vs_the_fibrillators,Minions vs The Fibrillators,2026-04-06,Minions vs The Fibrillators (2026-04-06),Minions,The Fibrillators,Minions_Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ Minions vs The Fibrillators _ 2026-04-06 _ CricHeroes.csv,Minions,11,1,Minions,1.5,1,5,Suresh,Sayooj Kalapurakkal,no run,"Suresh to Sayooj Kalapurakkal, no run",0,0,0,,0,,0,,1
