match_row_id,match_key,match_title,match_date,match_label,team_1,team_2,source_pdf,source_csv,batting_team_from_filename,sequence,innings_number,batting_team,ball,over_number,ball_in_over,bowler,batsman,detail,commentary,total_runs,batsman_runs,extras,extra_type,is_boundary,boundary_type,is_wicket,dismissal_kind,is_legal_ball
2026_04_21_the_fibrillators_vs_illuminati__1,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,1,1,The Fibrillators,0.1,0,1,Tejasree,Lakshethaa VN,1 run,"Tejasree to Lakshethaa VN, 1 run",1,1,0,,0,,0,,1
2026_04_21_the_fibrillators_vs_illuminati__2,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,2,1,The Fibrillators,0.2,0,2,Tejasree,Lakshethaa VN,no run,"Tejasree to Lakshethaa VN, no run",0,0,0,,0,,0,,1
2026_04_21_the_fibrillators_vs_illuminati__3,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,3,1,The Fibrillators,0.3,0,3,Tejasree,Lakshethaa VN,wide,"Tejasree to Lakshethaa VN, wide",1,0,1,wide,0,,0,,0
2026_04_21_the_fibrillators_vs_illuminati__4,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,4,1,The Fibrillators,0.3,0,3,Tejasree,Lakshethaa VN,no run,"Tejasree to Lakshethaa VN, no run",0,0,0,,0,,0,,1
2026_04_21_the_fibrillators_vs_illuminati__5,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,5,1,The Fibrillators,0.4,0,4,Tejasree,Lakshethaa VN,no run,"Tejasree to Lakshethaa VN, no run",0,0,0,,0,,0,,1
2026_04_21_the_fibrillators_vs_illuminati__6,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,6,1,The Fibrillators,0.5,0,5,Tejasree,Lakshethaa VN,no run,"Tejasree to Lakshethaa VN, no run",0,0,0,,0,,0,,1
2026_04_21_the_fibrillators_vs_illuminati__7,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,7,1,The Fibrillators,1.0,1,0,Tejasree,Lakshethaa VN,OUT Stumped,"Tejasree to Lakshethaa VN, OUT Stumped Lakshethaa VN st †Akhil S Babu b Tejasree (1r 6b 0x4s 0x6s SR: 16.67)",,,,,0,,1,out,1
2026_04_21_the_fibrillators_vs_illuminati__8,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,8,1,The Fibrillators,1.1,1,1,Sibin k s,Arvind Thomas,1 run,"Sibin k s to Arvind Thomas, 1 run",1,1,0,,0,,0,,1
2026_04_21_the_fibrillators_vs_illuminati__9,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,9,1,The Fibrillators,1.2,1,2,Sibin k s,Gokul S,no run,"Sibin k s to Gokul S, no run",0,0,0,,0,,0,,1
2026_04_21_the_fibrillators_vs_illuminati__10,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,10,1,The Fibrillators,1.3,1,3,Sibin k s,Gokul S,no run,"Sibin k s to Gokul S, no run",0,0,0,,0,,0,,1
2026_04_21_the_fibrillators_vs_illuminati__11,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,11,1,The Fibrillators,1.4,1,4,Sibin k s,Gokul S,no run,"Sibin k s to Gokul S, no run",0,0,0,,0,,0,,1
2026_04_21_the_fibrillators_vs_illuminati__12,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,12,1,The Fibrillators,1.5,1,5,Sibin k s,Gokul S,2 runs,"Sibin k s to Gokul S, 2 runs",2,2,0,,0,,0,,1
2026_04_21_the_fibrillators_vs_illuminati__13,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,13,1,The Fibrillators,2.0,2,0,Sibin k s,Gokul S,1 run,"Sibin k s to Gokul S, 1 run",1,1,0,,0,,0,,1
2026_04_21_the_fibrillators_vs_illuminati__14,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,14,1,The Fibrillators,2.1,2,1,Sharath,Gokul S,1 run,"Sharath to Gokul S, 1 run",1,1,0,,0,,0,,1
2026_04_21_the_fibrillators_vs_illuminati__15,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,15,1,The Fibrillators,2.2,2,2,Sharath,Arvind Thomas,no run,"Sharath to Arvind Thomas, no run",0,0,0,,0,,0,,1
2026_04_21_the_fibrillators_vs_illuminati__16,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,16,1,The Fibrillators,2.3,2,3,Sharath,Arvind Thomas,"OUT Caught and bowled, Caught by","Sharath to Arvind Thomas, OUT Caught and bowled, Caught by Sharath Arvind Thomas c&b Sharath (1r 3b 0x4s 0x6s SR: 33.33)",,,,,0,,1,out,1
2026_04_21_the_fibrillators_vs_illuminati__17,2026_04_21_the_fibrillators_vs_illuminati,The Fibrillators vs Illuminati,2026-04-21,The Fibrillators vs Illuminati (2026-04-21),The Fibrillators,Illuminati,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Illuminati _ 2026-04-21 _ CricHeroes.csv,Fibrillators,17,1,The Fibrillators,2.4,2,4,Sharath,Sebastian,no run,"Sharath to Sebastian, no run",0,0,0,,0,,0,,1
