match_row_id,match_key,match_title,match_date,match_label,team_1,team_2,source_pdf,source_csv,batting_team_from_filename,sequence,innings_number,batting_team,ball,over_number,ball_in_over,bowler,batsman,detail,commentary,total_runs,batsman_runs,extras,extra_type,is_boundary,boundary_type,is_wicket,dismissal_kind,is_legal_ball
2026_04_23_the_fibrillators_vs_minions__1,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,1,1,The Fibrillators,0.1,0,1,mythri M,Lakshethaa VN,no run,"mythri M to Lakshethaa VN, no run",0,0,0,,0,,0,,1
2026_04_23_the_fibrillators_vs_minions__2,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,2,1,The Fibrillators,0.2,0,2,mythri M,Lakshethaa VN,no run,"mythri M to Lakshethaa VN, no run",0,0,0,,0,,0,,1
2026_04_23_the_fibrillators_vs_minions__3,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,3,1,The Fibrillators,0.3,0,3,mythri M,Lakshethaa VN,no run,"mythri M to Lakshethaa VN, no run",0,0,0,,0,,0,,1
2026_04_23_the_fibrillators_vs_minions__4,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,4,1,The Fibrillators,0.4,0,4,mythri M,Lakshethaa VN,no run,"mythri M to Lakshethaa VN, no run",0,0,0,,0,,0,,1
2026_04_23_the_fibrillators_vs_minions__5,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,5,1,The Fibrillators,0.5,0,5,mythri M,Lakshethaa VN,no run,"mythri M to Lakshethaa VN, no run",0,0,0,,0,,0,,1
2026_04_23_the_fibrillators_vs_minions__6,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,6,1,The Fibrillators,1.0,1,0,mythri M,Lakshethaa VN,OUT Stumped,"mythri M to Lakshethaa VN, OUT Stumped Lakshethaa VN st †Lokesh b mythri M (0r 6b 0x4s 0x6s SR: 0.00)",,,,,0,,1,out,1
2026_04_23_the_fibrillators_vs_minions__7,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,7,1,The Fibrillators,1.1,1,1,Sayooj Kalapurakkal,Rahul p,no run,"Sayooj Kalapurakkal to Rahul p, no run",0,0,0,,0,,0,,1
2026_04_23_the_fibrillators_vs_minions__8,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,8,1,The Fibrillators,1.2,1,2,Sayooj Kalapurakkal,Rahul p,"OUT Caught out, Caught at Mid","Sayooj Kalapurakkal to Rahul p, OUT Caught out, Caught at Mid wicket by Hensen Hentry Rahul p c Hensen Hentry b Sayooj Kalapurakkal (0r 2b 0x4s 0x6s SR: 0.00)",,,,,0,,1,out,1
2026_04_23_the_fibrillators_vs_minions__9,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,9,1,The Fibrillators,1.3,1,3,Sayooj Kalapurakkal,Suresh,2 runs,"Sayooj Kalapurakkal to Suresh , 2 runs",2,2,0,,0,,0,,1
2026_04_23_the_fibrillators_vs_minions__10,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,10,1,The Fibrillators,1.4,1,4,Sayooj Kalapurakkal,Suresh,no run,"Sayooj Kalapurakkal to Suresh , no run",0,0,0,,0,,0,,1
2026_04_23_the_fibrillators_vs_minions__11,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,11,1,The Fibrillators,1.5,1,5,Sayooj Kalapurakkal,Suresh,2 runs,"Sayooj Kalapurakkal to Suresh , 2 runs",2,2,0,,0,,0,,1
2026_04_23_the_fibrillators_vs_minions__12,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,12,1,The Fibrillators,2.0,2,0,Sayooj Kalapurakkal,Suresh,no run,"Sayooj Kalapurakkal to Suresh , no run",0,0,0,,0,,0,,1
2026_04_23_the_fibrillators_vs_minions__13,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,13,1,The Fibrillators,2.1,2,1,SHAMAL KM,Gokul S,2 runs,"SHAMAL KM to Gokul S, 2 runs",2,2,0,,0,,0,,1
2026_04_23_the_fibrillators_vs_minions__14,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,14,1,The Fibrillators,2.2,2,2,SHAMAL KM,Gokul S,no run,"SHAMAL KM to Gokul S, no run",0,0,0,,0,,0,,1
2026_04_23_the_fibrillators_vs_minions__15,2026_04_23_the_fibrillators_vs_minions,The Fibrillators vs Minions,2026-04-23,The Fibrillators vs Minions (2026-04-23),The Fibrillators,Minions,Fibrillators_Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.pdf,Ball-by-Ball Commentary & Live Score_ The Fibrillators vs Minions _ 2026-04-23 _ CricHeroes.csv,Fibrillators,15,1,The Fibrillators,2.3,2,3,SHAMAL KM,Gokul S,2 runs,"SHAMAL KM to Gokul S, 2 runs",2,2,0,,0,,0,,1
